Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\custom-pagination.css                                | CSS        |        219 |         37 |         10 |        266 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\custom-tree_view.css                                 | CSS        |        106 |         14 |          6 |        126 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\custom-typography.css                                | CSS        |         28 |          0 |          0 |         28 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\infobox.css                                          | CSS        |        109 |         19 |          4 |        132 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\miscellaneous.css                                    | CSS        |          5 |         10 |          2 |         17 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\popover.css                                          | CSS        |         85 |         16 |         30 |        131 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\search.css                                           | CSS        |        175 |         23 |         16 |        214 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\tooltip.css                                          | CSS        |         45 |         20 |         17 |         82 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\bootstrap-form.css                                      | CSS        |         78 |         10 |         23 |        111 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\custom-clipboard.css                                    | CSS        |         12 |         10 |          2 |         24 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\switches.css                                            | CSS        |        203 |         22 |          2 |        227 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\forms\theme-checkbox-radio.css                                | CSS        |        218 |         20 |         38 |        276 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\loader.css                                                    | CSS        |         19 |         10 |          2 |         31 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\main.css                                                      | CSS        |      1,631 |         58 |        381 |      2,070 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\coming-soon\style.css                                   | CSS        |        202 |         10 |          8 |        220 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\contact_us.css                                          | CSS        |        114 |         13 |          5 |        132 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-400.css                                     | CSS        |         44 |         10 |          7 |         61 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-500.css                                     | CSS        |         44 |         10 |          7 |         61 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-503.css                                     | CSS        |         44 |         10 |          7 |         61 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\error\style-maintanence.css                             | CSS        |         44 |         10 |          6 |         60 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\faq\faq.css                                             | CSS        |        224 |         26 |         12 |        262 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\faq\faq2.css                                            | CSS        |         78 |         16 |          2 |         96 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\helpdesk.css                                            | CSS        |        262 |         24 |         22 |        308 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\pages\privacy\privacy.css                                     | CSS        |        104 |         25 |          9 |        138 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\plugins.css                                                   | CSS        |          4 |          9 |          1 |         14 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\scrollspyNav.css                                              | CSS        |         59 |         10 |          4 |         73 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\structure-minimal.css                                         | CSS        |      1,064 |         50 |         79 |      1,193 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\structure.css                                                 | CSS        |      1,065 |         50 |         80 |      1,195 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\tables\table-basic.css                                        | CSS        |         49 |         11 |         12 |         72 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\users\account-setting.css                                     | CSS        |        255 |         40 |         20 |        315 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\users\user-profile.css                                        | CSS        |        348 |         35 |         10 |        393 |
